Rosyjski,Polski
одну,jeden
дальше,dalej
вернуться,powrót
давно,od dawna
последний,ostatni
ночи,noce
узнать,wiedzieć
уверена,Jasne
машину,samochód
права,prawa
пять,pięć
моих,kopalnia
также,Również
тому,do tego
вечером,Wieczorem
дети,dzieci
опять,Ponownie
вообще-то,Właściwie
серьезно,poważnie
работает,fabryka
своим,Twój własny
сначала,najpierw
две,dwa
одной,jeden
моим,kopalnia
те,te
жена,żona
думаете,myślisz?
помнишь,pamiętasz?
глаза,oczy
ними,ich
чувак,gość
ночью,w nocy
чувствую,czuć
взять,Brać
сразу,od razu
утром,rano
часть,Część
придется,będzie musiał
стать,stać się
идея,pomysł
дорогая,Drogi
прекрасно,Wspaniały
слова,słowa
сделали,zrobione
видели,piła
наша,nasz
сердце,serce
помню,Pamiętam
парня,facet
момент,moment
утро,Poranek
здравствуйте,Cześć
стал,stał się
скорее,szybciej
ох,Oh
большой,duży
кто-нибудь,ktoś
часов,godziny
год,rok
друзья,Przyjaciele
сильно,silnie
говори,mówić
смысле,oznaczający
которой,Który
уйти,Zostawić
которого,kogo
капитан,kapitan
работы,praca
любовь,Miłość
дочь,córka
новый,nowy
боюсь,Boję się
имеет,ma
стой,zatrzymywać się
дней,dni
той,tamten
голову,głowa
ах,Oh
столько,tylu
понятно,To jest jasne
дать,dawać
девушка,młoda kobieta
довольно,wystarczająco 
доме,dom
вечер,wieczór
оба,Zarówno
пойдем,chodźmy
увидимся,do zobaczenia
шанс,szansa
хорошая,Dobry
прежде,zanim
сделаю,Zrobię to
какого,Co
быстрее,szybciej
понять,zrozumieć
рассказать,powiedzieć
вашего,twój
бог,Bóg
интересно,Ciekawy
затем,Następnie
умер,zmarł
обо,o
никого,nikt
парни,Chłopaki
самый,bardzo
твое,twój
вон,na zewnątrz
пришел,wszedł
чтоб,aby
поверить,uważać
слово,słowo
будете,będziesz
нашел,znaleziony
милая,Kochanie
странно,Dziwny
какие,Który
ой,Auć
та,To
однажды,pewnego dnia
сможешь,możesz
получить,Dostawać
обычно,zazwyczaj
ума,umysł
полагаю,Przypuszczam
алло,Cześć
посмотреть,Patrzeć
иначе,W przeciwnym razie
наших,nasz
тело,ciało
хотели,poszukiwany
свое,Twój własny
пришли,wszedł
моё,Mój
другие,Inny
выглядит,wygląda jak
подумал,myśl
лицо,twarz
приятно,Ładny
мам,mama
говорите,mówić
обратно,z powrotem
нашего,nasz
телефон,telefon
мире,świat
честь,honor
господин,pan
доброе,Uprzejmy
план,plan
другом,przyjaciel
час,godzina
джон,Jan
пути,ścieżki
делал,zrobił
типа,typ
посмотрим,Zobaczymy
насколько,aż do
пытался,wypróbowany
правду,prawda
решил,zdecydowany
поздно,późno
нем,jego
работе,praca
любит,kocha
хотят,chcieć
кому,do kogo
сестра,siostra
какой-то,Niektóre
места,miejsca
кого-то,ktoś
скажешь,powiesz
следующий,Następny
других,inni
получил,otrzymane
кстати,Przy okazji
говорили,powiedzieli
пришла,wszedł
безопасности,bezpieczeństwo
рада,Cieszę się
когда-нибудь,pewnego dnia
город,miasto
внимание,uwaga
кофе,kawa
которое,Który
вся,Wszystko
семья,rodzina
конец,koniec
позже,Później
дал,dał
думать,myśleć
спать,spać
вернулся,zwrócony
остаться,zostawać
некоторые,Niektóre
кровь,krew
оружие,broń
пришлось,musiał
хуже,gorzej
дорогой,Drogi
полиция,Policja
сможем,możemy
понимаете,Czy Pan rozumie?
четыре,cztery
которых,Który
ужасно,straszny
ждать,Czekać
способ,sposób
делаю,Robię
готовы,gotowy
совершенно,absolutnie
смотреть,Patrzeć
вернусь,Wrócę
большое,duży
единственный,jedyny
вперед,do przodu
часа,godziny
где-то,gdzieś
муж,mąż
идет,nadchodzi
таких,taki
ребенка,dziecko
машина,samochód
стороны,boki
смог,smog
сына,syn
играть,grać
сами,się
верю,Wierzę
честно,Szczerze
нашла,znaleziony
звучит,dźwięki
угодно,cokolwiek lubisz
как-то,jakoś
руку,ręka
начала,początek
перевод,tłumaczenie
какое,Który
взял,wziął
станет,stanie się
пытаюсь,Próbuję
внутри,wewnątrz
знали,wiedział
новости,aktualności
добрый,Uprzejmy
подождите,Czekać
скажите,Powiedzieć
ребенок,dziecko
вашу,twój
мальчик,chłopiec
осталось,lewy
делаете,robisz
году,rok
мере,mierzyć
поняла,Zrozumiany
отношения,relacja
далеко,daleko
вокруг,wokół
хотим,chcemy
слышала,Słyszałem
двух,dwa
приятель,kumpel
никому,nikomu
мужчина,Człowiek
неделю,tydzień
вернуть,powrót
смерть,śmierć
сих,te
ту,To
сможет,będzie w stanie
the,ten
дайте,dawać
двое,dwa
видите,widzisz
долларов,dolarów
крови,krew
решение,rozwiązanie
путь,ścieżka
следует,następuje
неужели,Naprawdę
около,w pobliżu
готова,gotowy
семьи,rodziny
идем,chodźmy
смотрите,Patrzeć
круто,Fajny
история,historia
вдруг,Nagle
спросить,zapytać
i,I
твоих,twój
второй,drugi
вина,wina
джек,Podnośnik
женщины,kobiety
нашу,nasz
заткнись,zamknąć się
минуту,chwila
собираешься,Czy zamierzasz?
твоим,twój
шоу,pokazywać
прощения,przebaczenie
больно,zraniony
машины,samochody
пап,tata
трудно,trudny
постоянно,stale
поможет,pomoże
проблем,problemy
например,Na przykład
дерьмо,gówno
полиции,Policja
начать,zaczynać
знают,wiedzieć
лучший,"to, co najlepsze"
добро,Dobry
спасти,ratować
рождения,narodziny
оставить,Zostawić
чарли,Charlie
любишь,kochasz
конце,na końcu
забыл,zapomniałem
месяцев,miesiące
часто,często
мило,Uroczy
комнате,pokój
нему,jego
матери,matki
милый,Uroczy
полностью,w pełni
школе,szkoła
леди,dama
серьёзно,poważnie
убили,zabity
случай,happening
джо,Joe
убийство,morderstwo
послушайте,Słuchać
посмотрите,spójrz
пошел,wszedł 
никакого,nic
сделаем,zróbmy to
говоря,mówiąc
неплохо,nieźle
использовать,używać
прошлой,ostatni
иду,Nadchodzę
узнал,dowiedziałem się
прекрати,przestań
чуть,trochę
держи,proszę bardzo
невозможно,niemożliwe
господа,panowie
слушайте,Słuchać
наше,nasz
машине,samochód
сэм,Sam
свет,światło
образом,sposób
иметь,Posiadać
другое,Inny
другого,inny
шесть,sześć
людям,ludzie
погоди,Czekać
имени,nazwa
детка,Dziecko
недели,tygodnie
меньше,mniej
легко,łatwo
крайней,skrajny
девочка,dziewczyna
придётся,będzie musiał
мало,kilka
ненавижу,Nienawidzę
you,Ty
последние,najnowszy
насчёт,o
выглядишь,wyglądasz
сообщение,wiadomość
думает,myśli
друзей,przyjaciele
обещаю,Obiecuję
агент,agent
вместо,zamiast
последнее,ostatni
самого,się
настолько,Więc
ответ,odpowiedź
детектив,detektyw
понятия,koncepcje
родители,rodzice
показать,pokazywać
поехали,chodźmy
стало,stał się
мэм,proszę pani
своими,Twój własny
всей,Wszystko
очевидно,oczywiście
помогите,Pomoc
маленький,mały
школу,szkoła
пожаловать,Witamy
твоё,twój
либо,Lub
забрать,Brać
прошло,przeszedł
особенно,zwłaszcza
имеешь,masz
истории,opowieści
эм,Em
вопросы,pytania
большая,duży
минутку,poczekaj chwilę
пол,podłoga
остановить,zatrzymywać się
чему,Co
свидания,daty
обязательно,Koniecznie
городе,miasto
убийца,morderca
сделай,zrób to
a,A
ваших,twój
любви,Miłość
спокойной,spokój
б,B
своё,Twój własny
мадам,pani
идите,Iść
выйти,wychodzić
делают,Oni to robią
немедленно,natychmiast
делай,zrób to
возможность,możliwość
человеком,człowiek
бывает,Zdarza się
ужин,kolacja
моем,Mój
купить,kupić
позвонить,dzwonić
наконец,Wreszcie
стала,stał się
любой,każdy
клянусь,Przysięgam
смешно,śmieszny
абсолютно,absolutnie
всему,wszystko
переводчики,tłumacze
забудь,zapominać
секунду,sekundę
выбор,wybór
тысяч,tysiące
потерял,zaginiony
майкл,Michał
волнуйся,Nie martw się
ноги,nogi
таком,taki
настоящий,prawdziwy
означает,oznacza
встретиться,poznać
известно,wiadomo
работаю,Pracujący
замечательно,Niesamowity
любом,każdy
оставь,Zostawić
связи,znajomości
боль,ból
выпить,pić
представить,wprowadzić
убийства,morderstwa
малыш,Dziecko
умерла,zmarł
воды,woda
окей,OK
речь,przemówienie
хорошие,Dobry
поводу,o
перестань,przestań
увидел,piła
повезло,mający szczęście
президент,prezydent
мужик,Człowiek
которым,Który
прошлом,przeszłość
дам,dam
десять,dziesięć
умереть,umierać
поговорим,porozmawiajmy
отцом,ojciec
искать,szukaj
тихо,cichy
оставил,lewy
пистолет,pistolet
начал,zaczął
сложно,trudny
города,miasta
неделе,tydzień
хотелось,Chciałem
принять,przyjąć
историю,historia
босс,szef
держать,trzymać
пойдём,chodźmy
подумала,Myślałem
фильм,film
слышишь,słyszysz?
рано,wczesny
удачи,Powodzenia
еду,Idę
словно,jak gdyby
причина,przyczyna
пришёл,wszedł
э,ech
компании,firmy
спокойно,spokojnie
работал,pracował
подумать,pomyśl o tym
вести,aktualności
вещь,rzecz
брата,brat
конца,koniec
получится,to się uda
блин,Gówno
право,Prawidłowy
ввиду,ze względu na
бога,Bóg
по-моему,Moim zdaniem
подарок,obecny
комнату,pokój
мира,pokój
успокойся,uspokoić się
позволить,umożliwić
моему,kopalnia
идёт,nadchodzi
самая,najbardziej
рассказал,powiedział
курсе,kurs
намного,dużo
мистера,Pan
женщин,kobiety
тяжело,twardy
ух,Wow
предложение,oferta
одним,jeden
счет,sprawdzać
улице,ulica
другим,do innych
уходи,Zostawić
майк,Mikrofon
среди,wśród
помоги,pomoc
получилось,udało się
месяц,miesiąc
проверить,sprawdzać
генри,Henz
голос,głos
позвольте,pozwól mi
стороне,strona
вероятно,prawdopodobnie
случится,wydarzy się
уверены,pewny siebie
мужа,mąż
питер,Piotr
провести,prowadzić
людьми,ludzie
наконец-то,Wreszcie
неважно,nie ma znaczenia
нашёл,znaleziony
м,M
доктора,lekarze
месяца,miesiące
игра,gra
идём,chodźmy
нём,jego
джордж,Jerzy
познакомиться,познакомиться
возьму,Wezmę to
слышали,usłyszał
пошла,wszedł 
корабль,statek
чувствуешь,czujesz
позволь,pozwól mi
сторону,strona
игры,zawody sportowe
согласен,zgadzać się
письмо,list
вниз,w dół
молодец,Dobrze zrobiony
наверняка,z pewnością
утра,Poranek
вашим,twój
нечего,Nic
встречи,spotkania
вид,pogląd
никакой,NIE
связь,połączenie
список,lista
такую,taki
весело,śmieszny
сидеть,siedzieć
гораздо,dużo
собирался,miał zamiar
впервые,po raz pierwszy
находится,usytuowany
объяснить,wyjaśnić
полицию,Policja
решили,zdecydowany
семью,rodzina
свидание,data
отличная,doskonały
остальные,odpoczynek
прийти,przychodzić
руках,siła robocza
фбр,FBI
чувство,uczucie
котором,Który
решила,zdecydowany
понадобится,będzie potrzebne
сынок,syn
найду,Znajdę to
фрэнк,Szczery
школы,szkoły
чувства,uczucia
дядя,wujek
стали,stal
ушла,lewy
первым,Pierwszy
поверь,uwierz mi
расскажи,Powiedzieć
хочется,Chcę
девушки,dziewczyny
сон,marzenie
имел,miał
каким,Co
парнем,facet
многие,wiele
части,strony
ехать,prowadzić
считаю,"Myślę, że"
никуда,nigdzie
голове,głowa
старый,stary
оттуда,stamtąd
чем-то,coś
называется,to się nazywa
вопросов,pytania
фото,zdjęcie
пройти,przechodzić
заниматься,badanie
другу,do przyjaciela
вернулась,zwrócony
пара,para
никак,nie ma mowy
девочки,dziewczyny
благодарю,Dziękuję
своем,w swoim własnym
недавно,Ostatnio
приехал,przybył
глаз,oko
могло,mógł
становится,staje się
пыталась,wypróbowany
является,Jest
брось,zrezygnować 
богу,do Boga
ы,y
нашим,nasz
помощи,pomoc
волосы,włosy
невероятно,niesamowity
одном,jeden
ушел,lewy
джейн,Jane
to,Do
тела,ciała
недель,tygodnie
собирается,będzie
защитить,chronić
всеми,przez wszystkich
существует,istnieje
жив,żywy
первая,Pierwszy
позвоню,Zadzwonię
благодаря,dzięki
вперёд,do przodu
навсегда,na zawsze
помните,Pamiętać
земле,ziemia
делу,sprawa
вполне,całkiem
пытается,próbuje
будущее,przyszły
семь,siedem
своему,do swojego
ок,OK
идиот,idiota
слава,chwała
стоило,było warto
удалось,udało się
делаем,my robimy
команда,zespół
главное,Najważniejsze
огонь,ogień
дэнни,Danny
замуж,wziąć ślub
начали,zaczął
мужчины,mężczyźni
кого-нибудь,ktoś
силы,wojska
семье,rodzina
шеф,szef
суд,sąd
слышу,Słyszę
тюрьме,więzienie
попробовать,próbować
друзьями,przyjaciele
алекс,Alex
вашем,twój
новая,nowy
маленькая,mały
черта,cecha
придет,przyjdzie
страшно,straszny
услышать,słyszeć
новые,nowy
общем,zazwyczaj
звонил,zwany
купил,kupił
понравится,spodoba ci się
близко,zamknąć
самой,najbardziej
смысл,oznaczający
хорошее,Dobry
любил,kochany
сара,Sara
единственная,jedyny
делали,zrobił
макс,Maksym
мэри,Mary
жду,Czekam
получается,Okazuje się
хорошего,Dobry
эми,Amy
дамы,damski
жену,żona
гарри,Złupić
неправильно,zło
стоять,podstawka
плевать,pluć
ключ,klawisz
верить,uważać
лично,osobiście
слышать,słyszeć
взяли,wziął
поздравляю,Gratulacje
пить,drink
заставить,siła
получили,otrzymane
рот,usta
делала,zrobił
преступления,przestępstwa
двери,drzwi
землю,grunt
разумеется,Oczywiście
очередь,kolejka
первой,Pierwszy
разговор,rozmawiać
видимо,najwyraźniej
звонок,dzwonić
джеймс,Jakub
s,S
менее,mniej
нового,nowy
получила,otrzymane
хм,Hmm
подальше,dalej
какая-то,Niektóre
сможете,możesz
похож,podobny
состоянии,stan
необходимо,niezbędny
адвокат,rzecznik
касается,obawy
секунд,towary drugiej jakości
стоп,zatrzymywać się
дали,dał
оставаться,zostawać
сделает,zrobię
ходить,chodzić
помощью,pomoc
хватает,wystarczająco 
изменить,zmiana
король,król
народ,ludzie
новую,nowy
девушку,dziewczyna
живет,życia
секс,seks
сделаешь,zrobisz to
думали,myśl
нашем,nasz
попасть,dotrzeć tam
каждого,każdy
другую,inny
просил,zapytał
пошёл,wszedł 
войны,wojny
случайно,przypadkowo
игру,gra
мертв,martwy
держись,trzymać się
забыла,Zapomniałem
цель,cel
минуты,protokół
месье,lord
выше,wyższy
однако,Jednakże
женщину,kobieta
раза,czasy
мысли,myśli
выход,Wyjście
платье,sukienka
вовсе,w ogóle
пришло,to przyszło
женой,żona
ребёнка,dziecko
сожалею,żal
твоем,twój
осторожно,ostrożnie
смогла,Udało mi się
этими,te
стану,Stanę się
маме,mama
парней,Chłopaki
нравятся,Podobają mi się
покое,pokój
поехать,Iść
садись,usiąść
миллионов,miliony
отличный,Świetnie
ребёнок,dziecko
дочери,córki
дороги,drogi
ого,Wow
ха,Ha
нечто,coś
первое,Pierwszy
выяснить,dowiadywać się
ник,Nacięcie
информацию,informacja
офис,biuro
какое-то,Niektóre
записи,dokumentacja
лучшее,najlepszy
течение,przepływ
вечеринку,impreza
убью,Zabiję
годы,lat
забыть,zapominać
правила,zasady
сожалению,Niestety
какие-то,Niektóre
слов,słowa
джимми,Jimmy
дни,dni
дала,dał
жизнью,życie
совет,rada
занят,zajęty
кем-то,przez kogoś
попробуй,próbować
подруга,przyjaciółka
расскажу,Powiem ci
целый,cały
красивая,Piękny
попросил,zapytał
вышел,wyszedł
удар,uderzyć
вещей,rzeczy
адрес,adres
дэвид,Dawid
оставьте,Zostawić
сержант,sierżant
увидишь,zobaczysz
виноват,winny
разница,różnica
открыть,Otwarte
написал,napisał
ждет,czekanie
новое,nowy
счастлив,szczęśliwy
вау,Wow
выбора,wybór
продолжай,Kontynuować
задницу,tyłek
покажу,Pokażę ci
единственное,jedyna rzecz
доверять,zaufanie
встреча,spotkanie
убивать,zabić
концов,kończy się
обоих,Zarówno
будьте,Być
останется,pozostanie
тюрьму,więzienie
наверно,Może
ищу,Szukam
момента,moment
обед,kolacja
лица,twarze
видео,wideo
стойте,zatrzymywać się
взяла,wziął
подождать,Czekać
считает,rozważa
вечно,na zawsze
покажи,pokaż mi
бен,Ben
книгу,książka
многое,dużo
земли,ziemie
дел,sprawy
какую,Co
поскольку,ponieważ
узнала,dowiedziałem się
сильнее,silniejszy
жены,żony
встречу,spotkanie
весьма,bardzo
блядь,kurwa
поняли,zrozumiany
родителей,rodzice
оу,Oh
лейтенант,porucznik
глупо,głupi
узнает,dowiaduje się
думают,oni myślą
сезон,sezon
снаружи,poza
голова,głowa
мамой,mama
заняться,robić
кино,film
вечера,wieczory
свете,światło
выйдет,wyjdzie
восемь,osiem
найдем,znajdziemy
помогу,Pomogę
больницу,szpital
больнице,szpital
магазин,sklep
тони,Tony
заметил,zauważony
договорились,Umowa
слушать,Słuchać
бизнес,biznes
примерно,około
уехать,Zostawić
мамы,matki
позвонил,zwany
выходит,wychodzi
когда-либо,kiedykolwiek
маму,mama
документы,dokumenty
попал,dotarłem tam
шаг,krok
отпусти,puścić
смотрю,Oglądam
здравствуй,Cześć
понравилось,Podobało mi się
смогли,byli w stanie
правы,Prawidłowy
большие,duży
рассказала,powiedział
идут,oni nadchodzą
готово,gotowy
плохой,zły
офицер,oficer
узнали,dowiedziałem się
скажет,powie
сюрприз,niespodzianka
внимания,uwaga
вышло,to się stało
дорогу,droga
считаешь,myślisz?
фотографии,zdjęcia
вода,woda
делом,biznes
каком,Co
полный,pełny
следующей,Następny
доказать,udowodnić
захочешь,Jeśli chcesz
книги,książki
война,wojna
планы,plany
мысль,myśl
веришь,czy wierzysz?
видно,widoczny
скажем,powiedzmy
большинство,większość
ребят,Chłopaki
продолжать,Kontynuować
ранее,poprzednio
жертвы,ofiary
ближе,bliższy
качестве,jakość
двигаться,przenosić
написано,pisemny
чувствовать,czuć
хорош,Dobry
любить,Miłość
величество,Wasza Królewska Mość
головы,głowy
дороге,na drodze
попросить,zapytać
времена,czas
подумай,pomyśl o tym
забавно,śmieszny
главный,główny
внизу,w dół
каждую,każdy
остался,pozostał
вставай,wstawać
мнение,opinia
твоему,twój
часы,oglądać
вряд,mało prawdopodobny
постой,Czekać
сомневаюсь,Wątpię
отдай,oddać to
вечеринка,impreza
ошибка,błąd
приехали,przybyliśmy
бросил,opuszczony
вернется,wróci
профессор,profesor
любят,Miłość
ключи,klawiatura
подходит,pasuje
беги,uruchomić
ничто,Nic
поле,pole
вышла,wyszedł
открой,Otwarte
воду,woda
сексом,seks
музыка,muzyka
побери,weź to
бабушка,babcia
собираемся,przygotowujemy się
несмотря,pomimo
госпожа,pani
стране,kraj
b,B
рэй,Promień
отдать,rozdać
трубку,rura
сил,wojska
кончено,to już koniec
другая,Inny
комната,pokój
ричард,Richard
o,o
сердца,kiery
кому-то,do kogoś
опасности,niebezpieczeństwa
сша,USA
закончить,skończyć
детьми,dzieci
врач,lekarz
живу,Mieszkam
имеете,masz
команды,zespoły
пожалуй,być może
роль,rola
порядок,zamówienie
группа,grupa
встретимся,spotkajmy się
кольцо,pierścień
самые,najbardziej
позвони,dzwonić
всём,dla wszystkich
вверх,w górę
разговаривать,rozmawiać
джим,Jim
закон,prawo
мужчин,mężczyźni
шутишь,żartujesz?
играет,gra
хорошим,Dobry
новой,nowy
начнем,zacznijmy
ухожу,Wychodzę
член,członek
такси,Taxi
серия,szereg
днк,DNA
получше,lepsza
убила,zabity
настоящая,prawdziwy
молодой,młody
эмили,Emily
показания,świadectwo
одному,sam
шутка,żart
уходить,Zostawić
снять,startować
недостаточно,nie wystarczy
каких,jaki rodzaj
кейт,Kate
одни,sam
разобраться,domyślić się
язык,język
едем,idziemy
директор,dyrektor
сто,sto
энди,Andy
учитывая,rozważając
спросил,zapytał
днем,w ciągu dnia
первого,Pierwszy
джей,Sójka
чего-то,coś
когда-то,dawno temu
наверху,na górze
говорим,mówimy
счастлива,szczęśliwy
помог,pomógł
отцу,do ojca
приходится,musieć
определенно,zdecydowanie
сигнал,sygnał
закончится,skończy się
помогает,pomaga
группы,grupy
моём,kopalnia
едва,ledwie
легче,łatwiej
t,T
ответить,odpowiedź
спустя,później
принести,przynieść
секрет,sekret
приказ,zamówienie
де,Gdzie
опасно,niebezpieczny
позволю,pozwolę
билли,Menażka
бросить,rzucić
телефону,telefon
самых,najbardziej
эдди,Eddie
получишь,otrzymasz
господь,Lord
внутрь,wewnątrz
компания,firma
прекрасный,Piękny
томми,Tommy
такими,taki
and,I
пойдет,zrobię
женщиной,kobieta
работаешь,pracujesz?
большую,duży
волнует,sumowanie
рук,siła robocza
память,pamięć
старик,stary
избавиться,pozbyć się
квартиру,apartament
закончили,gotowy
информация,informacja
встречаться,poznać
удовольствием,przyjemność
спас,zapisane
мозг,mózg
читать,Czytać
ким,Kim
чертовски,Cholera
стол,tabela
джонни,Jasio
ублюдок,bękart
